Accession,Protein Name,Length,Organism Scientific Neme
A0A6J4VX76,Rad52/22 double-strand break repair protein,306,uncultured Synechococcales cyanobacterium
A0A2T0FDB3,DNA repair and recombination protein RAD52,292,Wickerhamiella sorbophila
A0A497R4V6,Recombinase,373,Candidatus Heimdallarchaeota archaeon
A0A6M8NL82,DNA repair protein Rad52,298,Arcobacter cloacae
A0A0D9R1L6,RRM domain-containing protein,263,Chlorocebus sabaeus
A0A2J7VJ55,Recombinase,350,Variovorax sp. B4
A0A6L7TSB1,DNA repair protein Rad52,289,Chloroflexi bacterium
A0A0N0RSJ1,RAD52 DNA repair protein RADC,336,Malassezia pachydermatis
A0A3D4B4P6,Rad52/22 family double-strand break repair protein,267,Candidatus Latescibacteria bacterium
A0A417NBD6,Rad52/22 double-strand break repair protein,325,Ruminococcaceae bacterium TF06-43
A7TGG1,RNase III domain-containing protein,182,Vanderwaltozyma polyspora (strain ATCC 22028 / DSM 70294 / BCRC 21397 / CBS 2163 / NBRC 10782 / NRRL Y-8283 / UCD 57-17)
A0A5C7PVS2,Rad52/22 double-strand break repair protein,252,Desulfurellales bacterium
A0A7S1TED3,Rad52/22 double-strand break repair protein,274,Compsopogon caeruleus
A0A8B6LVT8,Recombinase,350,Variovorax sp. SRS16
A0A2N1JAB9,Rad52/22 double-strand break repair protein,551,Malassezia vespertilionis
A0A3P9PQ68,RAD52 protein,294,Poecilia reticulata
A0A6C2YPW7,Rad52/22 double-strand break repair protein,325,Tuwongella immobilis
F0ZAM5,Rad52/22 double-strand break repair protein,261,Dictyostelium purpureum
A0A0F7ZFG3,DRBM domain-containing protein,257,Hirsutella minnesotensis 3608
A0A109D464,Recombinase,350,Variovorax sp. WDL1
A0A2J6MG08,"DNA repair RAD52-like protein 1, mitochondrial",199,Lactuca sativa
A0A4W2IA99,RAD52 motif-containing protein 1,166,Bos indicus x Bos taurus
A0A6P2FS59,Recombinase,350,Variovorax sp. PBL-H6
A0A0A2VP85,Rad52/22 double-strand break repair protein,251,Beauveria bassiana D1-5
A0A1Q4DQ28,DUF968 domain-containing protein,326,Rhizobiales bacterium 64-17
A0A341AGV5,"RAD52 homolog, DNA repair protein",302,Neophocaena asiaeorientalis asiaeorientalis
A0A430L4F9,Methyltransf_25 domain-containing protein,492,Fusarium euwallaceae
A0A6M3XJU0,Recombinase,234,viral metagenome
A0A6P2FYZ4,Recombinase,350,Variovorax sp. PBL-E5
A0A7X3JZR9,Rad52/22 double-strand break repair protein,254,Paenibacillus lutrae
A0A0A1UCM6,DNA repair and recombination protein RAD52,246,Entamoeba invadens IP1
A0A1X7C384,Rad52/22 double-strand break repair protein,261,Desulfovibrio gilichinskyi
A0A670ZUL9,RRM domain-containing protein,251,Pseudonaja textilis
A0A7E6D7Z1,DNA repair protein RAD52 homolog,313,Phyllostomus discolor
A0A7R8D514,RAD52-like protein,298,Lepeophtheirus salmonis
A0A800II70,Recombinase A,267,candidate division Zixibacteria bacterium
A0A077WS15,RAD52,287,Lichtheimia ramosa
A0A663MVD5,RAD52 motif-containing protein 1,270,Athene cunicularia
A0A0Q7TX66,DUF968 domain-containing protein,330,Pseudolabrys sp. Root1462
A0A341AI59,"RAD52 homolog, DNA repair protein",303,Neophocaena asiaeorientalis asiaeorientalis
A0A6P7RU02,RAD52 motif-containing protein 1,259,Mus caroli
A0A6P8NH13,RAD52 motif-containing protein 1,252,Geotrypetes seraphini
A0A7J7WSH3,"RAD52 homolog, DNA repair protein",313,Rhinolophus ferrumequinum
A3ZAM1,Rad52/22 double-strand break repair protein,352,Synechococcus sp. RS9917
A0A6P4CLP0,"DNA repair RAD52-like protein 1, mitochondrial",196,Arachis duranensis
A0A7V4W7R5,Recombinase,294,Armatimonadetes bacterium
A0A1H5WV96,Rad52/22 double-strand break repair protein,278,Lachnospira multipara
A0A0K2TSN1,RAD52-like protein,298,Lepeophtheirus salmonis
A0A096D7J3,Rad52/22 double-strand break repair protein,283,Flavonifractor plautii 1_3_50AFAA
A0A369RZ55,DNA repair and recombination protein RAD52,284,Trichoplax sp. H2
A0A4W2CVE3,RAD52 motif-containing protein 1,252,Bos indicus x Bos taurus
A0A2K5CTK7,RAD52,207,Aotus nancymaae
W0RNE0,Recombinase,289,Gemmatirosa kalamazoonesis
A0A452C890,DNA repair protein RAD52 homolog,351,Balaenoptera acutorostrata scammoni
A0A7C2A1H9,Single-stranded DNA-binding protein,266,bacterium
A0A0M9A2H3,DNA repair protein RAD52 like protein,145,Melipona quadrifasciata
A0A671QX13,RAD52,127,Sinocyclocheilus anshuiensis
A0A0F7ZI29,DRBM domain-containing protein,258,Hirsutella minnesotensis 3608
A0A1H4YDG8,Rad52/22 double-strand break repair protein,378,Paenibacillus sp. GP183
A0A1S3FRG0,RAD52 protein,360,Dipodomys ordii
A0A1X0QSE8,DNA repair and recombination protein RAD52,302,Rhizopus microsporus var. microsporus
A0A286FCY2,Erf family protein,335,Spirosoma fluviale
A0A6B2LG83,DNA repair and recombination protein RAD52,220,Arcella intermedia
A0A195BXF6,DNA repair protein RAD52 homolog,236,Atta colombica
A0A2J8RCM0,RAD52 motif-containing protein 1,250,Pongo abelii
A0A379WD16,Recombinase,216,Salmonella enterica I
A0A2G4SJ36,DNA repair and recombination protein RAD52,302,Rhizopus microsporus ATCC 52813
A0A416CEP1,C2 NT-type domain-containing protein,278,Clostridium sp. AF37-5
A0A6J1U4E7,RRM domain-containing protein,232,Notechis scutatus
A0A7D9CYV1,DNA repair and recombination protein RAD52,286,Dekkera bruxellensis
A0A179EWI4,Rad52/22 double-strand break repair protein,266,Purpureocillium lilacinum
A0A1G6CW46,DUF968 domain-containing protein,371,Bauldia litoralis
A0A6D2Y9I9,RAD52 motif-containing protein 1,251,Pan troglodytes
A0A6P6BQP4,RAD52 motif-containing protein 1,251,Pteropus vampyrus
S9VTJ3,DNA repair and recombination protein RAD52,292,Schizosaccharomyces cryophilus (strain OY26 / ATCC MYA-4695 / CBS 11777 / NBRC 106824 / NRRL Y48691)
A0A068USW8,"DNA repair RAD52-like protein 1, mitochondrial",216,Coffea canephora
A0A179F5G5,Transposase,761,Purpureocillium lilacinum
A0A2J8S3N4,RAD52,139,Pongo abelii
A0A7C1NCP7,Recombinase,304,Desulfobacterales bacterium
A0A259TVY5,DNA repair protein Rad52,264,Rubricoccus marinus
A0A341ATA7,RAD52 motif-containing protein 1,166,Neophocaena asiaeorientalis asiaeorientalis
A0A4W2IF46,RAD52 motif-containing protein 1,252,Bos indicus x Bos taurus
A0A6I8P7I6,RRM domain-containing protein,273,Ornithorhynchus anatinus
A0A3P9PQ16,"RAD52 homolog, DNA repair protein",343,Poecilia reticulata
A0A1S3FS05,RAD52 protein,367,Dipodomys ordii
A0A2J8KMJ6,RAD52,139,Pan troglodytes
A0A2K5E9U0,RAD52 motif-containing protein 1,251,Aotus nancymaae
A0A2K6A1R0,RAD52 motif-containing protein 1,251,Mandrillus leucophaeus
A5E4C0,DRBM domain-containing protein,242,Lodderomyces elongisporus (strain ATCC 11503 / CBS 2605 / JCM 1781 / NBRC 1676 / NRRL YB-4239)
A0A0F9Q8G0,Transposase,113,marine sediment metagenome
A0A2I2YDT7,RAD52 motif-containing protein 1,251,Gorilla gorilla gorilla
A0A553ND66,DNA repair and recombination protein RAD52,355,Tigriopus californicus
A0A5J4Z657,Rad52/22 double-strand break repair protein,261,Porphyridium purpureum
B6K726,DNA repair and recombination protein RAD52,321,Schizosaccharomyces japonicus (strain yFS275 / FY16936)
A0A6H2A5F1,Recombinase,239,viral metagenome
A0A6P6UM84,"DNA repair RAD52-like protein 1, mitochondrial",216,Coffea arabica
R7TPW7,DNA repair and recombination protein RAD52,347,Capitella teleta
A0A1X0RQF3,Recombination protein Rad52,302,Rhizopus microsporus
A0A2I3TG22,RAD52 motif-containing protein 1,251,Pan troglodytes
M7BAX6,RAD52 protein,359,Chelonia mydas
A0A0V1Q5H9,Uncharacterized protein,130,Debaryomyces fabryi
A0A367K7S0,DNA repair and recombination protein RAD52,303,Rhizopus azygosporus
A0A3Q0CIV4,DNA repair protein RAD52 homolog,377,Mesocricetus auratus
A0A4S2H407,DUF222 domain-containing protein,305,Marinicauda algicola
A0A800LX27,PEROXIDASE_4 domain-containing protein,100,candidate division Zixibacteria bacterium
A0A168LLL5,DNA repair and recombination protein RAD52,311,Absidia glauca
A0A1E4HX32,ERF family protein,234,Planctomycetes bacterium SCN 63-9
A0A6B1A555,DNA repair protein Rad52,306,Chloroflexi bacterium
A0A2I3GDD6,RAD52 motif-containing protein 1,251,Nomascus leucogenys
A0A3S2M1P4,DNA repair protein RAD52,287,Chilo suppressalis
A0A1C7N6Y7,DNA repair and recombination protein RAD52,345,Choanephora cucurbitarum
A0A2I3MFI3,RAD52 motif-containing protein 1,251,Papio anubis
A0A6P6UW72,"DNA repair RAD52-like protein 1, mitochondrial",216,Coffea arabica
G0WAE4,DNA repair protein RAD59,266,Naumovozyma dairenensis (strain ATCC 10597 / BCRC 20456 / CBS 421 / NBRC 0211 / NRRL Y-12639)
A0A0B7NLE7,DNA repair and recombination protein RAD52,364,Parasitella parasitica
A0A2K5HYV6,RAD52,211,Colobus angolensis palliatus
A0A2K6Q1X7,RAD52 motif-containing protein 1,251,Rhinopithecus roxellana
H8X9L8,DNA repair and recombination protein RAD52,406,Candida orthopsilosis (strain 90-125)
K7FCU9,RAD52 motif-containing protein 1,281,Pelodiscus sinensis
O42905,DNA repair and recombination protein rti1,371,Schizosaccharomyces pombe (strain 972 / ATCC 24843)
A0A5F5PLF5,RAD52 motif-containing protein 1,250,Equus caballus
A0A6B1AB47,DNA repair protein Rad52,310,Chloroflexi bacterium
A0A195CQL2,DNA repair protein RAD52 homolog,193,Cyphomyrmex costatus
A0A2K5NFL7,RAD52 protein,194,Cercocebus atys
A0A2K5V5Q8,RAD52 motif-containing protein 1,251,Macaca fascicularis
A0A3G2UPL9,Recombinase,261,Sphingobium yanoikuyae
A0A445E1Q3,"DNA repair RAD52-like protein 1, mitochondrial",196,Arachis hypogaea
A0A1V4JQ57,RAD52 motif-containing protein 1,118,Patagioenas fasciata monilis
A0A448YG30,DNA repair and recombination protein RAD52,360,Brettanomyces naardenensis
A0A5F9CLF7,RRM domain-containing protein,347,Oryctolagus cuniculus
A0A0B4G698,DNA repair and recombination protein RAD59,282,Metarhizium guizhouense (strain ARSEF 977)
A0A401H2W2,"Transducer of ERBB2, 2",105,Sparassis crispa
A0A834MTZ4,Uncharacterized protein,265,Vespula vulgaris
A0A2K5S5S6,RAD52 motif-containing protein 1,251,Cebus imitator
A0A2K6FFN5,RAD52 motif-containing protein 1,251,Propithecus coquereli
S2IY26,DNA repair and recombination protein RAD52,337,Mucor circinelloides f. circinelloides (strain 1006PhL)
N9V165,Astacin domain-containing protein,261,Entamoeba histolytica HM-1:IMSS-A
A0A1E4RMD8,NEDD8-activating enzyme E1 catalytic subunit,904,Hyphopichia burtonii NRRL Y-1933
A0A2K5K2H9,RAD52 motif-containing protein 1,251,Colobus angolensis palliatus
A0A4X1UW09,RAD52 motif-containing protein 1,276,Sus scrofa
A0A2K6DC66,RAD52 motif-containing protein 1,251,Macaca nemestrina
A0A5N7MB14,ERF family protein,430,Microvirga tunisiensis
A0A834K8R1,Uncharacterized protein,264,Vespula pensylvanica
F1QXE3,"RAD52 homolog, DNA repair protein",434,Danio rerio
A0A0F7ZRQ8,BUB1 N-terminal domain-containing protein,111,Hirsutella minnesotensis 3608
A0A0F9G345,Rad52/22 double-strand break repair protein,285,marine sediment metagenome
A0A2Y9KPS8,RAD52 motif-containing protein 1,251,Enhydra lutris kenyoni
A0A5B9WCJ7,ERF family protein,335,Aquisphaera giovannonii
A0A834MTC1,Uncharacterized protein,265,Vespula germanica
A0A0F9J540,Rad52/22 double-strand break repair protein,304,marine sediment metagenome
A0A2J8LJI7,RAD52 motif-containing protein 1,143,Pan troglodytes
A0A2Y9KVR1,DNA repair protein RAD52 homolog,393,Enhydra lutris kenyoni
V6M533,DNA repair and recombination protein RAD52,261,Spironucleus salmonicida
A0A3Q3DXN8,RAD52 protein,392,Hippocampus comes
A0A3Q3GMJ6,RAD52 motif-containing protein 1,260,Labrus bergylta
A0A6L7TRY4,DNA repair protein Rad52,291,Chloroflexi bacterium
A0A6P8PHQ8,RAD52 motif-containing protein 1,272,Geotrypetes seraphini
A0A7I8W1M9,DNA repair and recombination protein RAD52,323,Dimorphilus gyrociliatus
Q756F4,DNA repair and recombination protein RAD52,435,Ashbya gossypii (strain ATCC 10895 / CBS 109.51 / FGSC 9923 / NRRL Y-1056)
A0A2U1LBF1,"DNA repair RAD52-like protein 1, mitochondrial",230,Artemisia annua
P43351,DNA repair protein RAD52 homolog,418,Homo sapiens
A0A288CFZ6,DNA repair protein RAD52 homolog,381,Sus scrofa
A0A2K6KM13,RAD52 motif-containing protein 1,251,Rhinopithecus bieti
A0A6P3QJZ2,DNA repair protein RAD52 homolog,387,Pteropus vampyrus
P43352,DNA repair protein RAD52 homolog,420,Mus musculus
A0A1W7A012,DUF968 domain-containing protein,359,Pseudorhodoplanes sinuspersici
A0A0C2WME5,Recombination protein Rad52,325,Amanita muscaria (strain Koide BX008)
A0A175WBC7,RAD52 DNA repair protein RADC,448,Madurella mycetomatis
A0A2K6CLQ9,RAD52,222,Macaca nemestrina
A0A3B4E6P7,DNA repair protein RAD52 homolog,390,Pygocentrus nattereri
A0A452QG06,RAD52,280,Ursus americanus
Q7NMQ3,Rad52/22 double-strand break repair protein,255,Gloeobacter violaceus (strain ATCC 29082 / PCC 7421)
A0A2K6P4R8,RAD52,222,Rhinopithecus roxellana
A0A367XSZ3,DNA repair protein RAD59,139,Candida viswanathii
A0A4X1UGJ7,DNA repair protein RAD52 homolog,381,Sus scrofa
A0A6J3S7W7,DNA repair protein RAD52 homolog,379,Tursiops truncatus
A0A834Y646,DNA repair and recombination protein RAD52,260,Aphidius gifuensis
G8B5Q3,DNA repair and recombination protein RAD52,416,Candida parapsilosis (strain CDC 317 / ATCC MYA-4646)
A0A2J8RCN0,RAD52 motif-containing protein 1,143,Pongo abelii
A0A0C9MU84,DNA repair and recombination protein RAD52,363,Mucor ambiguus
A0A0J1B315,Rad52/22 double-strand break repair protein,263,Cutaneotrichosporon oleaginosum
A0A2C9JID5,RAD52,339,Biomphalaria glabrata
A0A2I3GBM6,RAD52,226,Nomascus leucogenys
A0A6J3E9N6,RRM domain-containing protein,247,Aythya fuligula
A0A3B5BBB8,"RAD52 homolog, DNA repair protein",386,Stegastes partitus
A0A3P8S4W6,RAD52 protein,393,Amphiprion percula
A0A3Q2HBF7,"RAD52 homolog, DNA repair protein",390,Equus caballus
C9S6Q2,RAD52 DNA repair protein RADC,339,Verticillium alfalfae (strain VaMs.102 / ATCC MYA-4576 / FGSC 10136)
A0A7C6JAZ1,DUF1071 domain-containing protein,249,Peptococcaceae bacterium
A0A242CGD8,Recombinase RecT,358,Enterococcus sp. 4E1_DIV0656
A0A3B4BGN0,"RAD52 homolog, DNA repair protein",390,Periophthalmus magnuspinnatus
A0A452GFL6,RRM domain-containing protein,315,Gopherus agassizii
A0A662WYR2,RAD52,296,Nothophytophthora sp. Chile5
A0A669PA27,RAD52 protein,383,Phasianus colchicus
A0A6B1CNN0,Serine/threonine protein kinase,120,Gemmatimonadetes bacterium
A0A6I8PPS7,"RAD52 homolog, DNA repair protein",390,Ornithorhynchus anatinus
P41768,DNA repair and recombination protein RAD52,436,Kluyveromyces lactis (strain ATCC 8585 / CBS 2359 / DSM 70799 / NBRC 1267 / NRRL Y-1140 / WM37)
A0A6I9XXI5,RAD52 protein,392,Thamnophis sirtalis
A0A2K5U9Q5,DNA repair protein RAD52 homolog,384,Macaca fascicularis
A0A6G0LTT7,RAD52,324,Phytophthora fragariae
A0A401SEJ2,DNA repair protein RAD52 homolog,384,Chiloscyllium punctatum
A0A672ZK18,RAD52 protein,383,Sphaeramia orbicularis
F2QTV5,DNA repair and recombination protein RAD52,407,Komagataella phaffii (strain ATCC 76273 / CBS 7435 / CECT 11047 / NRRL Y-11430 / Wegner 21-1)
P39022,DNA repair protein RAD52 homolog,422,Gallus gallus
A0A091E641,DNA repair protein RAD52 homolog,385,Fukomys damarensis
A0A2M7G0K6,DUF3780 domain-containing protein,246,bacterium (Candidatus Blackallbacteria) CG17_big_fil_post_rev_8_21_14_2_50_48_46
A0A2P6NCY6,DNA repair and recombination protein RAD52,286,Planoprotostelium fungivorum
A0A2Y9NJ35,DNA repair protein RAD52 homolog,387,Delphinapterus leucas
A0A4X2KE94,RAD52 protein,389,Vombatus ursinus
A0A7R9J243,RAD52,247,Timema californicum
A0A2K6TUP1,RRM domain-containing protein,139,Saimiri boliviensis boliviensis
A0A6J0T854,RAD52 protein,400,Pogona vitticeps
A0A024G5G1,RAD52,297,Albugo candida
A0A2K6K9H0,RAD52,222,Rhinopithecus bieti
A0A2Y9NNP1,DNA repair protein RAD52 homolog,386,Delphinapterus leucas
A0A015JPN8,DNA repair and recombination protein RAD52,328,Rhizophagus irregularis (strain DAOM 197198w)
A0A2U9BWB6,DNA repair protein RAD52 homolog,414,Scophthalmus maximus
W1QIW9,DNA repair and recombination protein RAD52,388,Ogataea parapolymorpha (strain ATCC 26012 / BCRC 20466 / JCM 22074 / NRRL Y-7560 / DL-1)
A0A2I3SIN1,RAD52,226,Pan troglodytes
A0A6A3MHI6,RAD52,324,Phytophthora rubi
A0A6D2WAL6,RAD52,227,Pongo abelii
A0A6H1ZGX2,Rad52/22 double-strand break repair protein,225,viral metagenome
Q58CX5,DNA repair protein RAD52 homolog,401,Bos taurus
A0A7R9B339,RAD52,247,Timema shepardi
A0A212D9X0,RAD52 motif-containing protein 1,243,Cervus elaphus hippelaphus
A0A2G1LP77,Recombinase,259,Sphingobium sp. IP1
A0A803XZZ6,RAD52 protein,395,Meleagris gallopavo
A0A379WB96,Recombinase,155,Salmonella enterica I
C4QZT6,DNA repair and recombination protein RAD52,407,Komagataella phaffii (strain GS115 / ATCC 20864)
F1RC79,DNA repair protein RAD52 homolog,409,Danio rerio
A0A151Z3N0,DNA repair and recombination protein RAD52,291,Tieghemostelium lacteum
A0A2J8KML4,DNA repair protein RAD52 homolog,384,Pan troglodytes
A0A4S8MDT0,Recombination protein Rad52,296,Dendrothele bispora (strain CBS 962.96)
Q4U0V2,DNA repair protein RAD52 homolog,409,Danio rerio
D3ZZL1,DNA repair protein RAD52 homolog,434,Rattus norvegicus
A0A162QSM4,Rad52/22 double-strand break repair protein,120,Clostridium magnum DSM 2767
A0A2T0S8K2,"Phosphoglucomutase (alpha-D-glucose-1,6-bisphosphate-dependent)",75,Spirosoma oryzae
A0A673GAW8,"RAD52 homolog, DNA repair protein",408,Sinocyclocheilus rhinocerous
A0A6J0BH00,DNA repair protein RAD52 homolog,260,Neodiprion lecontei
A0A6P8RRX9,RAD52 protein,420,Geotrypetes seraphini
A9V3B8,DNA repair and recombination protein RAD52,292,Monosiga brevicollis
G3TWT9,DNA repair protein RAD52 homolog,407,Loxodonta africana
A0A226MX36,RAD52 protein,382,Callipepla squamata
A0A2K5S6B1,"RAD52 homolog, DNA repair protein",300,Cebus imitator
A0A2Y9MJL0,RAD52 motif-containing protein 1,251,Delphinapterus leucas
A0A2Y9RD90,DNA repair protein RAD52 homolog,401,Trichechus manatus latirostris
A0A6J0IXZ4,RAD52 motif-containing protein 1,298,Lepidothrix coronata
A0A3Q7T8E8,DNA repair protein RAD52 homolog,405,Vulpes vulpes
A0A6D2WBQ6,RAD52,226,Pan troglodytes
A0A6J3QPG3,RAD52 motif-containing protein 1,288,Tursiops truncatus
A0A834EHR4,DNA repair protein RAD52 homolog,388,Phyllostomus discolor
D2VRG2,DNA repair and recombination protein RAD52,313,Naegleria gruberi
A0A195F962,DNA repair protein RAD52 homolog,270,Trachymyrmex septentrionalis
A0A2I2YCM9,RAD52,227,Gorilla gorilla gorilla
A0A6J2D013,"RAD52 homolog, DNA repair protein",414,Zalophus californianus
I3KC09,"RAD52 homolog, DNA repair protein",417,Oreochromis niloticus
A0A2R8ZDA3,RAD52,226,Pan paniscus
A0A2Y9RAJ4,"RAD52 homolog, DNA repair protein",346,Trichechus manatus latirostris
A0A158NCJ6,DNA repair protein RAD52 homolog,270,Atta cephalotes
A0A2I0TS32,"RAD52 homolog, DNA repair protein",345,Limosa lapponica baueri
A0A433TKR6,DNA repair protein RAD52 homolog,382,Elysia chlorotica
A0A6P7Z164,DNA repair protein RAD52 homolog,428,Microcaecilia unicolor
W1WGJ9,Rad52/22 family double-strand break repair protein,271,human gut metagenome
A0A3P8RCG6,"RAD52 homolog, DNA repair protein",417,Astatotilapia calliptera
M3Z2W2,"RAD52 homolog, DNA repair protein",416,Mustela putorius furo
A0A2K5P2H6,RAD52 motif-containing protein 1,251,Cercocebus atys
A0A2Y9KWL0,"RAD52 homolog, DNA repair protein",415,Enhydra lutris kenyoni
A0A2Y9L9H7,"RAD52 homolog, DNA repair protein",416,Enhydra lutris kenyoni
A0A6P7Z2N0,DNA repair protein RAD52 homolog,429,Microcaecilia unicolor
A0A6P8RRJ0,RAD52 protein,421,Geotrypetes seraphini
G3TGS1,DNA repair protein RAD52 homolog,411,Loxodonta africana
A0A2C5Y5V9,RAD52 DNA repair protein RADC,349,Ophiocordyceps australis
A0A668RWW3,"RAD52 homolog, DNA repair protein",417,Oreochromis aureus
A0A6J0T8C2,RAD52 protein,332,Pogona vitticeps
A0A6J3FY06,DNA repair protein RAD52 homolog,392,Sapajus apella
F7FCQ6,RAD52 motif-containing protein 1,251,Macaca mulatta
A0A287BAV5,DNA repair protein RAD52 homolog,403,Sus scrofa
A0A3P9CUX8,"RAD52 homolog, DNA repair protein",417,Maylandia zebra
A0A6B0RZE3,DNA repair protein RAD52 homolog,416,Bos mutus
W5PSD3,DNA repair protein RAD52 homolog,416,Ovis aries
A0A5N7CMM6,RING-type domain-containing protein,139,Petromyces alliaceus
A0A673VHI7,RAD52 motif-containing protein 1,192,Suricata suricatta
Q6C357,DNA repair and recombination protein RAD52,409,Yarrowia lipolytica (strain CLIB 122 / E 150)
A0A091JVR1,RAD52 protein,409,Colius striatus
A0A5N4C6I7,"RAD52 homolog, DNA repair protein",324,Camelus dromedarius
A0A671Y5J7,DNA repair protein RAD52 homolog,418,Sparus aurata
A0A087YHD3,"RAD52 homolog, DNA repair protein",424,Poecilia formosa
A0A1A8UE20,"RAD52 homolog, DNA repair protein",426,Nothobranchius furzeri
A0A2K5NFB4,"RAD52 homolog, DNA repair protein",397,Cercocebus atys
A0A3Q3AFS6,"RAD52 homolog, DNA repair protein",382,Kryptolebias marmoratus
A0A4V0YQ27,Recombinase,366,Mesorhizobium sp. Pch-S
A0A6P4X8C4,DNA repair protein RAD52 homolog,411,Panthera pardus
A0A7J7WSC7,DNA repair protein RAD52 homolog,417,Rhinolophus ferrumequinum
A0A093PJK0,RAD52 protein,416,Manacus vitellinus
A0A0J7NBX5,DNA repair protein RAD52 homolog,257,Lasius niger
A0A452DYL1,DNA repair protein RAD52 homolog,416,Capra hircus
A0A4X1UGK6,DNA repair protein RAD52 homolog,406,Sus scrofa
A0A667H9H9,DNA repair protein RAD52 homolog,412,Lynx canadensis
A0A667H9I9,DNA repair protein RAD52 homolog,416,Lynx canadensis
S7MT32,DNA repair protein RAD52 homolog,413,Myotis brandtii
A0A093G0S5,RAD52 protein,413,Dryobates pubescens
A0A1A8KK66,"RAD52 homolog, DNA repair protein",426,Nothobranchius kuhntae
A0A1D8NLN0,DNA repair and recombination protein RAD52,409,Yarrowia lipolytica
A0A3Q7ML85,DNA repair protein RAD52 homolog,414,Callorhinus ursinus
A0A4W2C6F4,DNA repair protein RAD52 homolog,416,Bos indicus x Bos taurus
A0A4W2GPS2,DNA repair protein RAD52 homolog,416,Bos indicus x Bos taurus
A0A553MNS7,DNA repair protein RAD52 homolog,411,Danionella translucida
A0A674J4L4,RAD52 protein,400,Terrapene carolina triunguis
A0A6J0DYJ9,DNA repair protein RAD52 homolog,407,Peromyscus maniculatus bairdii
A0A6J0WLV7,DNA repair protein RAD52 homolog,416,Odocoileus virginianus texanus
A0A6P3HXS4,DNA repair protein RAD52 homolog,416,Bison bison bison
A0A6P9F4H8,RAD52 motif-containing protein 1,251,Zalophus californianus
L5JTE7,DNA repair protein RAD52 homolog,414,Pteropus alecto
M4A3V9,DNA repair protein RAD52 homolog,426,Xiphophorus maculatus
A0A093RRA5,RAD52 protein,420,Pygoscelis adeliae
A0A0C3CQ20,DNA repair and recombination protein RAD22,246,Piloderma croceum (strain F 1598)
A0A0D9RGY1,DNA repair protein RAD52 homolog,411,Chlorocebus sabaeus
A0A2K5YGR7,"RAD52 homolog, DNA repair protein",400,Mandrillus leucophaeus
A0A3M0JPL4,RAD52 protein,406,Hirundo rustica rustica
A0A485ME24,DNA repair protein RAD52 homolog,412,Lynx pardinus
A0A4W3JZ63,"RAD52 homolog, DNA repair protein",415,Callorhinchus milii
A0A6I9ZFB4,DNA repair protein RAD52 homolog,411,Acinonyx jubatus
A0A6J0U184,RRM domain-containing protein,242,Pogona vitticeps
A0A6P5BVL1,DNA repair protein RAD52 homolog,416,Bos indicus
A0A6P7IR13,DNA repair protein RAD52 homolog,423,Parambassis ranga
A0A7F8QZW9,Ras-associating domain-containing protein,745,Leptonychotes weddellii
A0A7J7WSS9,DNA repair protein RAD52 homolog,418,Rhinolophus ferrumequinum
B0M1M7,DNA repair protein RAD52 homolog,406,Sus scrofa
A2VE43,DNA repair protein RAD52 homolog,416,Bos taurus
F7AVC4,"RAD52 homolog, DNA repair protein",417,Equus caballus
G3VQX1,DNA repair protein RAD52 homolog,422,Sarcophilus harrisii
R9XK05,RAD52 DNA repair protein RADC,435,Ashbya aceri
A0A077WV76,Condensin complex subunit 2,307,Lichtheimia ramosa
A0A1U8BRT7,DNA repair protein RAD52 homolog,420,Mesocricetus auratus
A0A384D7K3,DNA repair protein RAD52 homolog,414,Ursus maritimus
A0A3B3DCQ5,DNA repair protein RAD52 homolog,418,Oryzias melastigma
A0A3B4UTV8,DNA repair protein RAD52 homolog,430,Seriola dumerili
A0A6I9ZAR7,DNA repair protein RAD52 homolog,412,Acinonyx jubatus
A0A6P6CTZ3,DNA repair protein RAD52 homolog,414,Pteropus vampyrus
H2M428,DNA repair protein RAD52 homolog,422,Oryzias latipes
U3JMX6,RAD52 protein,416,Ficedula albicollis
V9KST0,"RAD52 homolog, DNA repair protein",415,Callorhinchus milii
A0A091RUN6,RAD52 protein,415,Nestor notabilis
A0A2V1A904,DNA repair and recombination protein RAD52,443,[Candida] duobushaemulonis
A0A671PCL6,"RAD52 homolog, DNA repair protein",432,Sinocyclocheilus anshuiensis
A0A6P6IDP2,DNA repair protein RAD52 homolog,412,Puma concolor
B7S4J3,Transcription factor,190,Phaeodactylum tricornutum (strain CCAP 1055/1)
Q5DR82,"RAD52 homolog, DNA repair protein",418,Homo sapiens
A0A091E8N1,RAD52 protein,420,Corvus brachyrhynchos
A0A2K5HYU6,DNA repair protein RAD52 homolog,419,Colobus angolensis palliatus
A0A384D7W9,DNA repair protein RAD52 homolog,415,Ursus maritimus
A0A3B3VAA8,"RAD52 homolog, DNA repair protein",424,Poecilia latipinna
A0A3B3Z0K8,"RAD52 homolog, DNA repair protein",424,Poecilia mexicana
A0A3Q1B6V6,"RAD52 homolog, DNA repair protein",429,Amphiprion ocellaris
A0A3Q2QZE6,RAD52 protein,419,Fundulus heteroclitus
A0A6H0XU03,RAD52 DNA repair protein RADC,430,Peltaster fructicola
A0A6J0WJ47,DNA repair protein RAD52 homolog,415,Odocoileus virginianus texanus
A0A6J2CYZ0,DNA repair protein RAD52 homolog,435,Zalophus californianus
A0A6J2D144,DNA repair protein RAD52 homolog,435,Zalophus californianus
